name,id,artists,Cluster_PCA,R,G,B,opacity,noise,R_label,G_label,B_label,opacity_label,noise_label,atmosphere
Think About You,4QL7JQXCrWoCGsRKnGkga1,"PATEKO, Jayci yucca, Kid Wine",2,22,209,134,50,12.430509228374472,"차가운,","활기찬,","청량한,","저명한,",깨끗한,"차가운, 활기찬, 청량한, 저명한, 깨끗한"
SLOW DANCING IN THE DARK,6rY5FAWxCdAGllYEOZMbjW,Joji,2,44,203,59,51,23.582388258839227,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy,Coldplay,4,110,138,50,51,35.334667556148545,"밸런스 있는,","안정적인,","무거운,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 무거운, 저명한, 약간의 빈티지한"
Efecto,5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,3,51,158,226,51,9.26173004225039,"차가운,","안정적인,","신비로운,","저명한,",깨끗한,"차가운, 안정적인, 신비로운, 저명한, 깨끗한"
Bored,04sN26COy28wTXYj3dMoiZ,Billie Eilish,2,31,249,107,51,29.97553924838781,"차가운,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"차가운, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
Really Really,10I3CmmwT0BkOVhduDy53o,Kevin Gates,1,135,123,205,51,34.71203024238381,"따뜻한,","평온한,","신비로운,","저명한,",약간의 빈티지한,"따뜻한, 평온한, 신비로운, 저명한, 약간의 빈티지한"
Rebirth (Intro),7gMfVc4zfNIxuMyMGglOHa,Jimin,4,162,180,17,51,0.311318656882366,"따뜻한,","안정적인,","무거운,","저명한,",깨끗한,"따뜻한, 안정적인, 무거운, 저명한, 깨끗한"
Warning,64SCQtbRtmO28ks1QhS3w5,Morgan Wallen,4,130,195,119,51,14.631976873471205,"따뜻한,","활기찬,","중립적인,","저명한,",깨끗한,"따뜻한, 활기찬, 중립적인, 저명한, 깨끗한"
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,"Kali Uchis, Tyler, The Creator, Bootsy Collins",3,86,58,167,51,25.83944852123638,"밸런스 있는,","차분한,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 차분한, 청량한, 저명한, 약간의 빈티지한"
Love,5VeXj6AN1SDRfvcjafPKCc,JANNABI,4,202,47,18,50,41.83900378029798,"강렬한,","차분한,","무거운,","저명한,",빈티지한,"강렬한, 차분한, 무거운, 저명한, 빈티지한"
House Party,1TwLKNsCnhi1HxbIi4bAW0,Sam Hunt,1,192,17,195,51,39.84878808094285,"강렬한,","차분한,","신비로운,","저명한,",빈티지한,"강렬한, 차분한, 신비로운, 저명한, 빈티지한"
doodle (Feat. Yerin Baek) (Prod. by WOOGIE),4WiZMFJos3BUHSieP9cHTM,"punchnello, Yerin Baek",2,66,202,223,50,19.34623082054703,"밸런스 있는,","활기찬,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 활기찬, 신비로운, 저명한, 약간의 빈티지한"
Love Songs - Bonus,6qL5UWxRSQYml9O99ozoLv,Kaash Paige,2,38,216,125,51,19.30175672670669,"차가운,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"차가운, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,4,218,80,38,51,30.27573938181009,"강렬한,","평온한,","무거운,","저명한,",약간의 빈티지한,"강렬한, 평온한, 무거운, 저명한, 약간의 빈티지한"
stranger,7eZXAeqqdLDrAp2MvrPzWn,Jhené Aiko,3,117,152,170,51,13.853680231265288,"밸런스 있는,","안정적인,","청량한,","저명한,",깨끗한,"밸런스 있는, 안정적인, 청량한, 저명한, 깨끗한"
Don′t do That,5OiD0uUNxZkSyG3opReDlx,"Leellamarz, TOIL",1,144,40,248,50,9.106070713809206,"따뜻한,","차분한,","신비로운,","저명한,",깨끗한,"따뜻한, 차분한, 신비로운, 저명한, 깨끗한"
Slow It Down,51eSHglvG1RJXtL3qI5trr,Benson Boone,4,180,100,31,51,1.4787636201912386,"따뜻한,","평온한,","무거운,","저명한,",깨끗한,"따뜻한, 평온한, 무거운, 저명한, 깨끗한"
Mamushi (feat. Yuki Chiba),5b3XJ1pjrHO5JtY2PcTjnI,"Megan Thee Stallion, 千葉雄喜",1,51,144,250,51,0.5448076495441405,"차가운,","안정적인,","신비로운,","저명한,",깨끗한,"차가운, 안정적인, 신비로운, 저명한, 깨끗한"
One and Only,7twsZBhfSJFeaDp2rFHP1d,BOYNEXTDOOR,1,175,10,244,51,4.936624416277518,"따뜻한,","차분한,","신비로운,","저명한,",깨끗한,"따뜻한, 차분한, 신비로운, 저명한, 깨끗한"
Riot,4aOOExMBUyxKnEYb39SrTg,XXXTENTACION,3,68,152,56,51,17.089170558149878,"밸런스 있는,","안정적인,","무거운,","저명한,",깨끗한,"밸런스 있는, 안정적인, 무거운, 저명한, 깨끗한"
Waiting Room,04mAOoQNsXmDJlyupJwmkO,Phoebe Bridgers,2,33,199,65,51,32.53279964420725,"차가운,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"차가운, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
All I Wanna Do,2PcJoVkfjcbvoqBxV1Nj7y,Jay Park,3,107,124,107,51,31.76562152546142,"밸런스 있는,","평온한,","중립적인,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 중립적인, 저명한, 약간의 빈티지한"
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,3,209,152,99,51,25.061151879030465,"강렬한,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,4,135,153,146,51,23.082054703135423,"따뜻한,","안정적인,","청량한,","저명한,",약간의 빈티지한,"따뜻한, 안정적인, 청량한, 저명한, 약간의 빈티지한"
Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",3,79,160,241,51,11.985768289971093,"밸런스 있는,","안정적인,","신비로운,","저명한,",깨끗한,"밸런스 있는, 안정적인, 신비로운, 저명한, 깨끗한"
Elevator,1TCkgf6YdQa9jzhWziWbjf,Lim Young Woong,3,216,44,80,51,24.327329330664888,"강렬한,","차분한,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 차분한, 중립적인, 저명한, 약간의 빈티지한"
Wind Up Missin’ You,7iQMm50NNwlUIRWhONZR2k,Tucker Wetmore,4,218,153,84,51,1.5565932844118302,"강렬한,","안정적인,","중립적인,","저명한,",깨끗한,"강렬한, 안정적인, 중립적인, 저명한, 깨끗한"
Unstoppable,1yvMUkIOTeUNtNWlWRgANS,Sia,4,238,149,41,51,31.754503002001336,"강렬한,","안정적인,","무거운,","저명한,",약간의 빈티지한,"강렬한, 안정적인, 무거운, 저명한, 약간의 빈티지한"
A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,Shaboozey,3,105,58,180,51,1.400933955970647,"밸런스 있는,","차분한,","청량한,","저명한,",깨끗한,"밸런스 있는, 차분한, 청량한, 저명한, 깨끗한"
Daylight,5BlGmys9VqmHZbf7eswxG1,Watchhouse,2,49,247,90,51,37.70291305314655,"차가운,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"차가운, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
대나무숲,07yp5YDZU6Zch6cJrXs6wo,Nerd Connection,2,72,219,10,50,21.758950411385367,"밸런스 있는,","활기찬,","무거운,","저명한,",약간의 빈티지한,"밸런스 있는, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Did It First (with Central Cee),57lsYy0OZLNb5OQ7fEa3Hs,"Ice Spice, Central Cee",4,142,102,119,51,0.400266844563042,"따뜻한,","평온한,","중립적인,","저명한,",깨끗한,"따뜻한, 평온한, 중립적인, 저명한, 깨끗한"
Dreamed a dream,0tumsfaXAjtZKqF5Vi2QFH,"Car, the garden",4,188,183,42,50,19.55748276628864,"따뜻한,","안정적인,","무거운,","저명한,",약간의 빈티지한,"따뜻한, 안정적인, 무거운, 저명한, 약간의 빈티지한"
Wild Thoughts (feat. Rihanna & Bryson Tiller),45XhKYRRkyeqoW3teSOkCM,"DJ Khaled, Rihanna, Bryson Tiller",1,114,47,107,51,29.04158327774072,"밸런스 있는,","차분한,","중립적인,","저명한,",약간의 빈티지한,"밸런스 있는, 차분한, 중립적인, 저명한, 약간의 빈티지한"
8 Letters,4zRZAmBQP8vhNPf9i9opXt,Why Don't We,2,44,217,103,51,24.20502557260396,"차가운,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"차가운, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
Location,152lZdxL1OR0ZMW6KquMif,Khalid,3,33,174,187,51,29.664220591505448,"차가운,","안정적인,","청량한,","저명한,",약간의 빈티지한,"차가운, 안정적인, 청량한, 저명한, 약간의 빈티지한"
The Story Never Ends,2hTcD5aTYlQoTT76KofQam,Lauv,2,10,235,100,51,25.22792973093173,"차가운,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"차가운, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
Goodbye,3QQyaBhRNcDmqpWRssT7dh,Park Hyo Shin,2,59,222,11,50,21.447631754503004,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Nobody Gets Me,5Y35SjAfXjjG0sFQ3KOxmm,SZA,2,18,231,15,51,6.8490104514120524,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
Mind Games,21a1k8q3DJtsF8GorRfcL8,Sickick,2,36,187,156,51,27.39604180564821,"차가운,","안정적인,","청량한,","저명한,",약간의 빈티지한,"차가운, 안정적인, 청량한, 저명한, 약간의 빈티지한"
Snowy,2bL95oqvyttowjkdBjvWKJ,Chaeum,3,140,82,57,50,7.427173671336447,"따뜻한,","평온한,","무거운,","저명한,",깨끗한,"따뜻한, 평온한, 무거운, 저명한, 깨끗한"
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",3m5PgWSClkZ44vdFmPiqpq,"GroovyRoom, HUH YUNJIN, Crush",4,241,110,146,51,2.3571269735379143,"강렬한,","평온한,","청량한,","저명한,",깨끗한,"강렬한, 평온한, 청량한, 저명한, 깨끗한"
Bang Bang,0puf9yIluy9W0vpMEUoAnN,"Jessie J, Ariana Grande, Nicki Minaj",3,218,69,170,51,40.00444740938404,"강렬한,","평온한,","청량한,","저명한,",빈티지한,"강렬한, 평온한, 청량한, 저명한, 빈티지한"
Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,"Bruno Mars, Cardi B",3,192,2,167,51,27.029130531465423,"강렬한,","차분한,","청량한,","저명한,",약간의 빈티지한,"강렬한, 차분한, 청량한, 저명한, 약간의 빈티지한"
Nobody Knows,70efTlnBNM8BvfhfPiqOBN,KISS OF LIFE,1,94,34,134,51,3.135423615743829,"밸런스 있는,","차분한,","청량한,","저명한,",깨끗한,"밸런스 있는, 차분한, 청량한, 저명한, 깨끗한"
Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,2,9,225,11,51,12.374916611074047,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
Day 1,74muMkVdMYoR65lhmdzy13,Red Velvet,4,251,46,128,51,36.29086057371581,"강렬한,","차분한,","청량한,","저명한,",약간의 빈티지한,"강렬한, 차분한, 청량한, 저명한, 약간의 빈티지한"
애인을 구해봅니다,4rNZsfWqTDFlFaZfhHlNpd,SuperGuitar,2,105,217,53,50,40.27129197242606,"밸런스 있는,","활기찬,","무거운,","저명한,",빈티지한,"밸런스 있는, 활기찬, 무거운, 저명한, 빈티지한"
Toxic,3M214U0mwSm041GsQR3nrO,BoyWithUke,3,192,182,105,51,9.26173004225039,"강렬한,","안정적인,","중립적인,","저명한,",깨끗한,"강렬한, 안정적인, 중립적인, 저명한, 깨끗한"
U R,2DlBwbXR5mA8qhTuTMh6eZ,TAEYEON,2,54,224,10,50,35.97954191683345,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
I Miss You,3SfbB0Y3saMIQnNctxMVhj,SOYOU,2,46,244,45,51,30.965087836335336,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Girls Never Die,0Ol7uhYjodbXAKKarXdn6r,tripleS,3,199,64,143,50,1.1118523460084502,"강렬한,","평온한,","청량한,","저명한,",깨끗한,"강렬한, 평온한, 청량한, 저명한, 깨끗한"
LAST STARDUST,5SIvk89WNJKsl02ojARSYh,Aimer,4,207,136,42,51,36.75783855903936,"강렬한,","안정적인,","무거운,","저명한,",약간의 빈티지한,"강렬한, 안정적인, 무거운, 저명한, 약간의 빈티지한"
OOH-AHH하게 Like OOH-AHH,2ppAfCQmvlN9ym0P9563dX,TWICE,1,236,79,178,50,35.83500111185234,"강렬한,","평온한,","청량한,","저명한,",약간의 빈티지한,"강렬한, 평온한, 청량한, 저명한, 약간의 빈티지한"
Transportin',1WIZiOuNO3woKfdlSK2gNn,Kodak Black,3,102,133,228,51,28.4078274405159,"밸런스 있는,","안정적인,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 신비로운, 저명한, 약간의 빈티지한"
CLAP,19t5GSN3XsLB7UOsZD8Fwv,SEVENTEEN,1,209,26,180,51,27.51834556370914,"강렬한,","차분한,","청량한,","저명한,",약간의 빈티지한,"강렬한, 차분한, 청량한, 저명한, 약간의 빈티지한"
打上花火,4IouQaO9GkaHC7AtMErdSa,"Daoko, Kenshi Yonezu",1,107,172,114,51,27.029130531465423,"밸런스 있는,","안정적인,","중립적인,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 중립적인, 저명한, 약간의 빈티지한"
Late Night,3QRUPaizh0X42xNQMr8aPg,Noel,2,26,211,44,50,19.39070491438737,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Night Changes,5O2P9iiztwhomNh8xkR9lJ,One Direction,2,82,226,146,51,39.581943517900825,"밸런스 있는,","활기찬,","청량한,","저명한,",빈티지한,"밸런스 있는, 활기찬, 청량한, 저명한, 빈티지한"
Trip,11fB0pRXSdxOgoM8ity2D4,"Leellamarz, Hannah",1,79,144,148,50,23.34889926617745,"밸런스 있는,","안정적인,","청량한,","저명한,",약간의 빈티지한,"밸런스 있는, 안정적인, 청량한, 저명한, 약간의 빈티지한"
Kill This Love,5GK7eDDTVz7CTge1wJrDQW,BLACKPINK,1,223,126,190,51,21.792305981765622,"강렬한,","평온한,","청량한,","저명한,",약간의 빈티지한,"강렬한, 평온한, 청량한, 저명한, 약간의 빈티지한"
Texas,7j7ud2oFTJ8BjmeI8bjkQm,BigXthaPlug,3,152,108,205,51,6.148543473426729,"따뜻한,","평온한,","신비로운,","저명한,",깨끗한,"따뜻한, 평온한, 신비로운, 저명한, 깨끗한"
exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,"Taylor Swift, Bon Iver",2,19,240,8,51,16.4998888147654,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
Run BTS,69xohKu8C1fsflYAiSNbwM,BTS,3,142,29,180,51,8.872581721147432,"따뜻한,","차분한,","청량한,","저명한,",깨끗한,"따뜻한, 차분한, 청량한, 저명한, 깨끗한"
Social Distance,3F7wFlDlLjyk7luV05IgM9,DJ.Ted,4,221,195,29,50,17.745163442294864,"강렬한,","활기찬,","무거운,","저명한,",깨끗한,"강렬한, 활기찬, 무거운, 저명한, 깨끗한"
MAMIII,7FlQk2gJ6TBrHHiidvdR2O,"Becky G, KAROL G",3,120,8,238,51,9.183900378029795,"밸런스 있는,","차분한,","신비로운,","저명한,",깨끗한,"밸런스 있는, 차분한, 신비로운, 저명한, 깨끗한"
Static,4OmfWzukSVD140NiAIEjem,Steve Lacy,2,14,199,12,51,8.483433400044474,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
ドライフラワー,4kPlQKwtPrnqLgrmmKFSlA,Yuuri,4,147,176,40,51,10.529241716700025,"따뜻한,","안정적인,","무거운,","저명한,",깨끗한,"따뜻한, 안정적인, 무거운, 저명한, 깨끗한"
Dance Her Home,2g3vpJiqwswGJbUOSkCWqC,Cody Johnson,1,214,27,146,51,42.99533022014676,"강렬한,","차분한,","청량한,","저명한,",빈티지한,"강렬한, 차분한, 청량한, 저명한, 빈티지한"
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",3,105,91,109,51,29.886591060707136,"밸런스 있는,","평온한,","중립적인,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 중립적인, 저명한, 약간의 빈티지한"
Beach Again,4L1MHK27ifT30Ndicpr7js,SSAK3,1,244,52,80,50,16.566599955525906,"강렬한,","차분한,","중립적인,","저명한,",깨끗한,"강렬한, 차분한, 중립적인, 저명한, 깨끗한"
Tell me,2kuxMt9uBIJ63li6NQWhlU,JANNABI,1,207,29,128,50,32.62174783188792,"강렬한,","차분한,","청량한,","저명한,",약간의 빈티지한,"강렬한, 차분한, 청량한, 저명한, 약간의 빈티지한"
행복 (Happiness),6XP9L7di5JnOc9WaeAW8oe,Red Velvet,3,216,102,182,51,40.78274405158995,"강렬한,","평온한,","청량한,","저명한,",빈티지한,"강렬한, 평온한, 청량한, 저명한, 빈티지한"
The End,2GBrW5lRWjAQMhK612qzVg,Kwon Jin Ah,2,25,242,57,50,32.110295752724035,"차가운,","활기찬,","무거운,","저명한,",약간의 빈티지한,"차가운, 활기찬, 무거운, 저명한, 약간의 빈티지한"
Love me or Leave me,4MwsWZDbTS2vUwfiwKW3c1,DAY6,3,229,49,109,50,17.322659550811654,"강렬한,","차분한,","중립적인,","저명한,",깨끗한,"강렬한, 차분한, 중립적인, 저명한, 깨끗한"
ANYWHERE ANYTIME,67sYclP23NAkhQwYciJd16,george,2,31,224,59,50,5.537024683122081,"차가운,","활기찬,","무거운,","저명한,",깨끗한,"차가운, 활기찬, 무거운, 저명한, 깨끗한"
Watermelon Moonshine,3sYBFUXTv0STUoUINx9Qe8,Lainey Wilson,1,71,143,190,51,6.971314209472982,"밸런스 있는,","안정적인,","청량한,","저명한,",깨끗한,"밸런스 있는, 안정적인, 청량한, 저명한, 깨끗한"
藍二乗,6BV77pE4JyUQUtaqnXeKa5,ヨルシカ,1,204,94,95,51,21.7367133644652,"강렬한,","평온한,","중립적인,","저명한,",약간의 빈티지한,"강렬한, 평온한, 중립적인, 저명한, 약간의 빈티지한"
LOST!,02H58MSfVESkKyx4diDgu7,RM,1,102,154,209,51,0.933955970647098,"밸런스 있는,","안정적인,","신비로운,","저명한,",깨끗한,"밸런스 있는, 안정적인, 신비로운, 저명한, 깨끗한"
Kids,3pyyGVqWvRMq43qtJBzxe0,Current Joys,1,127,94,236,51,38.34778741383144,"밸런스 있는,","평온한,","신비로운,","저명한,",약간의 빈티지한,"밸런스 있는, 평온한, 신비로운, 저명한, 약간의 빈티지한"
The day was beautiful,3LpAsXjqTQ5FUyptb2lujH,Kassy,2,74,216,107,50,22.84856571047365,"밸런스 있는,","활기찬,","중립적인,","저명한,",약간의 빈티지한,"밸런스 있는, 활기찬, 중립적인, 저명한, 약간의 빈티지한"
telepatía,6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,3,51,82,132,51,15.02112519457416,"차가운,","평온한,","청량한,","저명한,",깨끗한,"차가운, 평온한, 청량한, 저명한, 깨끗한"
